timestamp,lat,lon,accuracy,speed,heading
1700000755000,39.9552970,116.4042287,9.11,1.399,176.828
1700000760000,39.9552402,116.4042155,8.45,1.282,190.055
1700000765000,39.9551757,116.4041993,7.10,1.462,190.905
1700000770000,39.9551208,116.4041837,5.52,1.249,192.334
1700000775000,39.9550689,116.4041676,5.34,1.187,193.309
1700000780000,39.9550186,116.4041528,8.13,1.147,192.750
1700000785000,39.9549639,116.4041360,8.43,1.249,193.262
1700000790000,39.9549121,116.4041215,8.80,1.178,192.103
1700000795000,39.9548606,116.4041086,7.59,1.165,190.871
1700000800000,39.9999110,116.3853317,6.56,1051.734,342.281
1700000805000,39.9547550,116.4040794,6.51,1053.821,162.357
1700000810000,39.9546956,116.4040638,7.60,1.347,191.334
1700000815000,39.9546434,116.4040492,7.74,1.188,192.138
1700000820000,39.9545857,116.4040339,7.60,1.308,191.506
1700000825000,39.9545203,116.4040168,5.70,1.484,191.310
1700000830000,39.9544640,116.4040020,8.68,1.276,191.376
1700000835000,39.9544194,116.4039913,9.31,1.011,190.398
1700000840000,39.9543583,116.4039761,5.81,1.382,190.858
1700000845000,39.9543006,116.4039636,5.96,1.300,189.387
1700000850000,39.9542480,116.4039531,6.58,1.184,188.698
1700000855000,39.9541897,116.4039417,6.03,1.311,188.547
1700000860000,39.9541452,116.4039322,6.24,1.003,189.244
1700000865000,39.9540889,116.4039203,5.85,1.268,189.220
1700000870000,39.9540228,116.4039060,8.16,1.491,189.413
1700000875000,39.9538645,116.4038177,5.54,3.827,203.160
1700000880000,39.9537878,116.4039554,8.74,2.902,126.005
1700000885000,39.9541423,116.4036289,5.12,9.650,324.775
1700000890000,39.9541515,116.4041631,8.08,9.108,88.708
1700000895000,39.9539012,116.4038269,7.18,7.990,225.837
1700000900000,39.9540134,116.4039867,7.31,3.694,47.525
1700000905000,39.9540205,116.4036911,7.22,5.041,271.794
1700000910000,39.9539735,116.4036789,6.65,1.066,191.270
1700000915000,39.9541712,116.4037516,9.29,4.570,15.724
1700000920000,39.9537218,116.4038254,7.41,10.074,172.821
1700000925000,39.9534558,116.4036230,6.86,6.849,210.248
1700000930000,39.9534143,116.4035904,9.94,1.077,211.091
1700000935000,39.9533741,116.4035597,7.76,1.037,210.370
1700000940000,39.9533269,116.4035251,5.01,1.204,209.321
1700000945000,39.9532761,116.4034884,6.51,1.290,208.991
1700000950000,39.9532359,116.4034581,6.75,1.033,210.045
1700000955000,39.9531933,116.4034249,8.31,1.104,210.866
1700000960000,39.9531498,116.4033899,9.12,1.136,211.621
1700000965000,39.9530980,116.4033506,9.79,1.333,210.208
1700000970000,39.9530560,116.4033196,9.23,1.074,209.433
1700000975000,39.9530065,116.4032835,7.92,1.261,209.256
1700000980000,39.9529591,116.4032485,7.06,1.211,209.495
1700000985000,39.9529148,116.4032138,8.93,1.150,210.923
1700000990000,39.9528663,116.4031759,5.09,1.257,210.961
1700000995000,39.9528171,116.4031441,9.76,1.221,206.342
